date,region,total_daily_mean_sv,zoop_daily_mean_sv,total_daily_area_scatter,zoop_daily_area_scatter
20221002,E,-70.82,-65.4,1245,31
20221003,E,-70.93,-63.57,1058,132
20221004,E,-70.92,-60.81,1287,312
20221005,E,-71.43,-64.16,974,82
20221006,E,-70.53,-65.3,1236,59
20221007,E,-69.52,-65.81,1549,41
20221008,E,-67.27,-64.2,4353,153
20221009,E,-68.45,-65.4,2895,31
20221010,E,-68.66,-64.49,2851,24
20221011,E,-69,-65.26,5137,70
20221012,E,-67.88,-64.43,2164,139
20221013,E,-70.19,-67.44,1387,99
20221014,E,-68.31,-68.7,2136,57
20221015,E,-69.75,-67.65,1498,47
20221016,E,-68.65,-69.57,1833,57
20221017,E,-67.85,-66.3,2425,51
20221110,E,-74.8,-71.19,498,42
20221111,E,-73.5,-70.14,1220,113
20221112,E,-74.6,-70.36,460,147
20221113,E,-72.24,-64.86,879,531
20221114,E,-68.07,-60.95,2826,1673
20221115,E,-67.14,-60.31,3339,1592
20221116,E,-68.78,-62.07,2397,1159
20221117,E,-67.72,-61.78,2686,1741
20221118,E,-70.8,-68.85,1203,151
20221119,E,-70.42,-66.38,1340,208
20221121,E,-70.29,-67.01,2461,240
20221122,E,-71.31,-68.72,1099,171
20221123,E,-71.63,-66.6,991,203
20221124,E,-71.87,-66.16,1181,244
20221125,E,-70.75,-66.45,2679,675
20221126,E,-68.15,-63.98,4861,1048
20221127,E,-68.46,-62.24,2361,661
