date,region,total_daily_mean_sv,zoop_daily_mean_sv,total_daily_area_scatter,zoop_daily_area_scatter
20220816,W,-69.64,-65.1,1446,453
20220817,W,-66.72,-62.91,2675,675
20220818,W,-68.5,-64.53,1756,68
20220819,W,-69.74,-65.79,1304,146
20220820,W,-68.13,-64.41,2025,311
20220821,W,-68.24,-65.54,1774,142
20220822,W,-66.77,-63.02,2860,685
20220823,W,-66.19,-63.37,3369,138
20220824,W,-64.45,-68.43,4428,102
20220825,W,-67.41,-66.66,2190,56
20220826,W,-66.03,-64.56,3658,117
20220827,W,-65.87,-60.85,3218,847
20220828,W,-63.2,-59.71,7096,1440
20220829,W,-65.76,-62.64,3353,386
20220830,W,-62.89,-60.78,6419,220
20220831,W,-66.82,-64.57,2497,171
20220901,W,-70.25,-65.68,1145,54
20220902,W,-69.88,-66.59,1268,81
20220903,W,-68.59,-67.28,1618,23
20220909,W,-68.26,-63.95,1947,376
20220910,W,-66.44,-65.7,2738,189
20220911,W,-66.87,-63.64,2897,637
20220912,W,-67.95,-65.72,2017,198
20220913,W,-66.61,-63.27,3420,143
20220914,W,-65.87,-62.62,4236,218
20220915,W,-67.88,-63.65,2105,579
20220916,W,-67.67,-64.7,2192,279
20220917,W,-67.46,-65.94,2454,123
20220918,W,-67.96,-67.1,2142,421
20220919,W,-63.37,-58.63,6631,1888
20220920,W,-64.31,-58.21,4750,926
20220921,W,-62.68,-57.17,7824,1558
20220922,W,-66.54,-60.45,3133,956
20220923,W,-65.06,-62.54,4025,932
20220924,W,-66.43,-61.98,2831,534
20220925,W,-66,-59.59,5921,111
20220926,W,-71.74,-63.75,924,188
20220927,W,-71.46,-70.03,895,12
20220930,W,-71.8,-67.42,1006,8
20221001,W,-69.89,-68.25,1632,7
20221002,W,-69.57,-66.56,2545,76
20221003,W,-73,-67.07,615,11
20221004,W,-72.97,-64.86,6319,43
20221005,W,-72.65,-65.71,658,69
20221006,W,-72.04,-66.41,813,24
20221007,W,-70.08,-67.02,3094,23
20221008,W,-68.95,-64.54,2036,68
20221009,W,-68.38,-58.78,1725,388
20221010,W,-70.03,-68.05,1264,54
20221011,W,-70.75,-66.49,9402,571
20221012,W,-69.37,-66.76,2073,60
20221013,W,-70.95,-67.67,1005,41
20221014,W,-70.17,-67.81,1322,43
20221015,W,-69.72,-68.97,1521,26
20221016,W,-67.18,-69.41,2790,60
20221017,W,-69.97,-65.8,846,238
20221110,W,-76.03,-71.36,406,151
20221111,W,-74.83,-67.74,429,63
20221112,W,-74.17,-69.09,482,119
20221113,W,-71.97,-65.33,1177,839
20221114,W,-65.14,-59.59,5066,1588
20221115,W,-67.67,-61.58,2549,823
20221116,W,-68.38,-63.51,3443,680
20221117,W,-69.06,-64.11,2474,857
20221118,W,-72.09,-69.29,886,216
20221119,W,-70.28,-66.13,1195,233
20221121,W,-69.89,-68.01,1665,152
20221122,W,-70.21,-64.89,1398,237
20221123,W,-70.26,-66.18,1294,227
20221124,W,-72.76,-65.96,817,211
20221125,W,-69.79,-64.78,1509,256
20221126,W,-70.58,-63.79,1417,628
20221127,W,-71.65,-66.42,925,187
20220816,E,-67.79,-60.59,2992,1724
20220817,E,-65.81,-61.17,3729,1398
20220818,E,-68.14,-62.96,2197,430
20220819,E,-69.75,-66.16,1398,142
20220820,E,-69.11,-64.5,1644,363
20220821,E,-68.81,-66.04,1716,272
20220822,E,-67.98,-65.22,2198,190
20220823,E,-67.71,-65.67,2402,50
20220824,E,-65.8,-68.47,3407,164
20220825,E,-67.97,-66.29,2255,500
20220826,E,-67.96,-64.57,2354,408
20220827,E,-66.85,-62.06,4590,830
20220828,E,-64.14,-59.41,6271,994
20220829,E,-65.1,-61.04,6496,892
20220830,E,-64.57,-60.04,4644,460
20220831,E,-67.16,-63.56,2554,145
20220901,E,-69.28,-64.43,1899,61
20220902,E,-69.12,-63.67,1562,130
20220903,E,-69.27,-67.84,1494,18
20220909,E,-67.01,-62.89,2984,993
20220910,E,-65.6,-62.59,3782,753
20220911,E,-65.87,-60.83,3970,1359
20220912,E,-67.71,-65.29,2180,88
20220913,E,-65.23,-61.05,4081,568
20220914,E,-66.23,-59.83,3158,826
20220915,E,-66.93,-61.09,2864,864
20220916,E,-67.26,-63.04,2674,427
20220917,E,-67.39,-65.5,2400,192
20220918,E,-68.45,-66.78,2381,440
20220919,E,-63.61,-59.37,6573,1673
20220920,E,-63.72,-58.22,5362,1003
20220921,E,-62.89,-58.93,7119,538
20220922,E,-64.3,-58.56,5051,1012
20220923,E,-61.99,-56.04,9261,1758
20220924,E,-64.53,-60.08,5925,1671
20220925,E,-64.89,-58.28,5344,855
20220926,E,-67.09,-59.52,3199,1086
20220927,E,-70.26,-61.38,2239,748
20220930,E,-71.62,-71.04,1133,11
20221001,E,-70.28,-68.98,1413,17
